boulevard_du_crepuscule|Billy Wilder|Film noir|1951-04-18|1 h 50 min|8.2|9390|115|9.4K|1.1K|5.8K|Norma Desmond, grande actrice du muet, vit recluse dans sa luxueuse villa de Beverly Hills en compagnie de Max von Meyerling, son majordome qui fut aussi son metteur en scène et mari. Joe Gillis, un scénariste sans le sou, pénètre par hasard dans la propriété et Norma lui propose de travailler au...
Quand_passent_les_cigognes|Mikhail Kalatozov|Drame, romance, guerre|1958-06-11|1 h 35 min|8.2|3460|64|3.5K|678|5.3K|A Moscou, en 1941. Boris et Veronika sont épris l'un de l'autre. Ils se promènent, le soir, tendrement enlacés, au bord de la Volga. Ces amours juvéniles sont bientôt interrompues par la déclaration de guerre. Boris s'engage, malgré la violente réprobation de son père, Fiodor Borozdine, médecin à...
Satantango_Le_Tango_de_Satan|Béla Tarr|Drame|2003-03-09|7 h 30 min|8.2|928|47|928|169|4.6K|Dans un village perdu au coeur de la plaine hongroise, les habitants luttent quotidiennement contre le vent et l’incessante pluie d’automne. Dans la ferme collective démantelée et livrée à l’abandon, les complots vont bon train lorsqu’une rumeur annonce le retour de deux hommes passés pour morts....
rebellion|Masaki Kobayashi|Drame, action|1967-06-03|2 h 08 min|8.2|1013|18|1K|161|1.8K|Sous l'ère Edo au Japon. Un chef de fief décide de marier sa femme, qu'il vient de répudier, au fils du samouraï Isaburo Sasahara.
le_tombeau_des_lucioles|Isao Takahata|Animation, drame, guerre|1996-06-19|1 h 29 min|8.2|55728|479|56K|6.3K|15K|L'histoire tragique de l'adolescent Seita, de sa jeune sœur Setsuko et des luttes qu'ils mènent pour survivre au Japon de la Seconde Guerre Mondiale.
Les_Enfants_du_paradis|Marcel Carné|Drame, romance|1945-03-15|3 h 10 min|8.2|6632|82|6.6K|942|6.3K|Paris, 1828. Sur le boulevard du Crime, au milieu de la foule, des acteurs et des bateleurs, le mime Baptiste Deburau, par son témoignage muet, sauve Garance d'une erreur judiciaire. C'est ici que commencent les amours contrariées de Garance, femme libre et audacieuse, et de Baptiste qu'elle...
Eve|Joseph L. Mankiewicz|Drame|1951-04-18|2 h 18 min|8.2|4990|65|5K|656|4.7K|Eve Harrington reçoit, des mains d'un vieil acteur, le prix Sarah Siddons. L'entourage de celle-ci se souvient de son ascension.
Andrei_Roublev|Andreï Tarkovski|Drame, biopic, historique||3 h 03 min|8.2|3785|66|3.8K|517|5.9K|En 1405, le peintre Théophane le Grec demande à Andreï Roublev de venir travailler avec lui à la décoration de l'église de l'Annonciation à Moscou. Quelques années plus tard, bouleversé par la violence de l'époque, Roublev renonce à son art et se mure dans le silence.
Rendez_vous|Ernst Lubitsch|Comédie romantique|1945-08-12|1 h 39 min|8.2|3535|63|3.5K|554|3.3K|Chez Matuschek et Cie, une grande boutique de maroquinerie, le jeune Alfred Kralik, l'adjoint du patron, et Klara Novak, une nouvelle employée, vont échanger une correspondance amoureuse, sans savoir qui ils sont, à l'aide de petites annonces.
Les_Temps_modernes|Charlie Chaplin|Comédie dramatique, muet|1936-03-13|1 h 27 min|8.2|38092|129|38K|2.2K|5.4K|La vie d'un ouvrier d'usine, employé sur une chaîne de production. Les mauvais traitements et rythme effréné imposé le poussent à la dépression nerveuse.
la_vie_est_belle|Frank Capra|Drame, fantastique|1948-07-28|2 h 10 min|8.2|16072|193|16K|2K|9.7K|Un soir de Noël, un homme déprimé décide de se jeter dans la rivière après avoir perdu une grosse somme d'argent. Un ange va l'aider.
Les_Lumieres_de_la_ville|Charlie Chaplin|Comédie dramatique, romance, muet|1931-04-07|1 h 27 min|8.2|11463|79|11K|890|4.7K|Un vagabond s’éprend d’une belle et jeune vendeuse de fleurs aveugle qui vit avec sa mère, couverte de dettes. Suite à un quiproquo, la fleuriste s’imagine le misérable, qui vient de lui acheter une fleur, en milliardaire...
jeux_dangereux|Ernst Lubitsch|Comédie, guerre|1947-05-21|1 h 39 min|8.2|7112|77|7.1K|948|4.8K|Pendant l'occupation nazie de la Pologne, une troupe d'acteurs est impliquée dans les efforts d'un soldat polonais cherchant un espion allemand.
La_Foule|King Vidor|Drame, romance, muet|1928-02-18|1 h 38 min|8.2|1229|31|1.2K|199|2.7K|1921. Bien décidé à accomplir la prédiction de son père, devenir quelqu'un, John Sims arrive à New York.
m_le_maudit|Fritz Lang|Policier, drame, thriller|1932-04-08|1 h 57 min|8.2|19060|155|19K|1.5K|10K|À Berlin, la police recherche un tueur d'enfants qui terrorise la ville. Alors qu'elle est impuissante, ce sont les criminels qui vont s'en charger.
les_sentiers_de_la_gloire|Stanley Kubrick|Drame, guerre|1975-03-26|1 h 28 min|8.2|18377|143|18K|1.7K|12K|En 1916, durant la Première Guerre mondiale, le général français Broulard ordonne au général Mireau de lancer une offensive suicidaire contre une position allemande imprenable, surnommée "la fourmilière". Au moment de l'attaque, les soldats tombent par dizaines et leurs compagnons, épuisés,...
Le_Limier|Joseph L. Mankiewicz|Thriller|1973-04-18|2 h 18 min|8.2|6609|106|6.6K|1K|7.8K|Andrew Wyke, un auteur de romans policiers vieillissant, invite dans son somptueux manoir, peuplé d'automates et de jeux de stratégie, le coiffeur Milo Tindle qu'il sait être l'amant de sa femme Marguerite. En échange de son consentement au divorce, Wyke propose à ce jeune rival, de monter une...
Fanny_et_Alexandre|Ingmar Bergman|Drame|1983-03-09|3 h 08 min|8.2|2841|50|2.8K|390|5.1K|Après la mort de son mari, la mère de Fanny et Alexandre épouse un évêque sévère et strict. Ils déménagent chez lui et seront soumis à son autorité.
Metropolis|Fritz Lang|Muet, drame, science-fiction|1927-02-06|2 h 25 min|8.2|18370|142|18K|1.6K|14K|Dans une ville futuriste divisée entre dirigeants et ouvriers, le fils d'un dirigeant est amoureux d'une ouvrière qui prédit l'abolition des classes.
Stalker|Andreï Tarkovski|Drame, science-fiction|1981-11-18|2 h 43 min|8.2|11067|212|11K|1.6K|15K|Un guide conduit deux hommes, l'un professeur et l'autre écrivain, à travers une zone connue comme la « chambre », afin d'exaucer tous leurs vœux.
l_intendant_sansho|Kenji Mizoguchi|Drame|1960-10-05|1 h 59 min|8.2|2073|38|2.1K|291|2.4K|Dans le Japon du XI° siècle, les membres d'une famille sont dispersés et martyrisés pour avoir défendu des paysans contre un ordre inique du gouverneur.
fight_club|David Fincher|Drame|1999-11-10|2 h 19 min|8.1|236700|830|237K|14K|23K|Insomniaque, désillusionné par sa vie personnelle et professionnelle, un jeune cadre expert en assurances, mène une vie monotone et sans saveur. Face à la vacuité de son existence, son médecin lui conseille de suivre une thérapie afin de relativiser son mal-être. Lors d'un voyage d'affaires, il...
fenetre_sur_cour|Alfred Hitchcock|Thriller|1955-04-01|1 h 52 min|8.1|32664|198|33K|2.5K|8K|À cause d'une jambe cassée, le reporter-photographe L. B. Jeffries est contraint de rester chez lui dans un fauteuil roulant. Homme d'action et amateur d'aventure, il s'aperçoit qu'il peut tirer parti de son immobilité forcée en étudiant le comportement des habitants de l'immeuble qu'il occupe...
memories_of_murder|Bong Joon-Ho|Policier, drame, thriller|2004-06-23|2 h 10 min|8.1|26781|254|27K|3.5K|13K|En 1986, dans la province de Gyunggi, le corps d'une jeune femme violée puis assassinée est retrouvé dans la campagne. Deux mois plus tard, d'autres crimes similaires ont lieu. Dans un pays qui n'a jamais connu de telles atrocités, la rumeur d'actes commis par un serial killer grandit de jour en...
La_Verite|Henri-Georges Clouzot|Drame|1960-11-02|2 h 10 min|8.1|5270|87|5.3K|814|5.1K|Dominique Marceau est jugée en assises pour le meurtre de son amant, Gilbert Tellier. Au cours des audiences se dessine petit à petit le véritable visage de l'accusée.
Un_voyage_avec_Martin_Scorsese_a_travers_le_cinema_americain|Martin Scorsese|Cinéma|1995-05-28|3 h 45 min|8.1|1173|9|1.2K|132|2.4K|De Vidor à Kubrick, en passant par Welles, Cassavetes, Martin Scorsese nous conte sa fascination pour les salles obscures et pour les créateurs qui ont bouleversé sa vie. Des films qui ont nourri ses rêves et qui l'ont poussé à devenir réalisateur.
gentleman_jim|Raoul Walsh|Biopic, sport, romance|1948-06-09|1 h 44 min|8.1|971|32|971|203|1.8K|À San Francisco, James J. Corbett n'est qu'un modeste employé de banque passionné par la boxe et désireux de s'élever au-dessus de sa condition. Cet arrivisme agace les membres du Club Olympique ainsi que la jolie Victoria Ware, dont la tentative de faire corriger l'ambitieux Jim lance au...
barry_lyndon|Stanley Kubrick|Drame, historique, aventure|1976-09-08|3 h 04 min|8.1|30924|263|31K|2.9K|15K|En Prusse, au début de la guerre de Sept Ans, un voyou irlandais conquiert le cœur d'une riche veuve et assume la position de son mari mort.
la_nuit_du_chasseur|Charles Laughton|Drame, thriller, film noir|1956-05-11|1 h 32 min|8.1|19589|229|20K|2K|9.2K|Un prêcheur inquiétant poursuit dans l'Amérique rurale deux enfants dont le père vient d'être condamné pour vol et meurtre. Avant son incarcération, le père leur avait confié dix mille dollars, dont ils ne doivent révéler l'existence à personne. Pourchassés sans pitié par ce pasteur psychopathe et...
le_kid|Charlie Chaplin|Muet, comédie dramatique|1921-02-06|50 min|8.1|18521|95|19K|1.3K|4.6K|Un enfant est abandonné par sa mère victime d'un séducteur. Un pauvre vitrier le recueille et cherche à l'éduquer de son mieux.
L_Armee_des_ombres|Jean-Pierre Melville|Drame, guerre|1969-09-12|2 h 25 min|8.1|12040|140|12K|1.1K|10K|En 1942, Gerbier, l'un des chefs de la Résistance, s'échappe du camp où il est emprisonné et tente de rejoindre son réseau à Marseille.
La_Colline_des_hommes_perdus|Sidney Lumet|Drame, guerre|1965-06-11|2 h 03 min|8.1|2265|59|2.3K|387|3.7K|Durant la Seconde Guerre mondiale, dans un camp disciplinaire britannique en Libye, se dresse une colline artificielle construite par les prisonniers...
