dune|Denis Villeneuve|Science-fiction, drame|2021-09-15|2 h 35 min|7.5|32021|594|32K|2.4K|11K|L'histoire de Paul Atreides, jeune homme aussi doué que brillant, voué à connaître un destin hors du commun qui le dépasse totalement. Car s'il veut préserver l'avenir de sa famille et de son peuple, il devra se rendre sur la planète la plus dangereuse de l'univers – la seule à même de fournir la...
les_olympiades|Jacques Audiard|Drame, romance|2021-11-03|1 h 45 min|6.9|5004|97|5K|293|3.9K|Paris 13e, quartier des Olympiades. Emilie rencontre Camille qui est attiré par Nora qui elle-même croise le chemin de Amber. Trois filles et un garçon. Ils sont amis, parfois amants, souvent les deux.
palm_springs|Max Barbakow|Comédie romantique, fantastique|2021-02-12|1 h 30 min|6.9|8790|95|8.8K|524|2.3K|L'insouciant Nyles rencontre la demoiselle d'honneur Sarah lors d'un mariage à Palm Springs. Dès lors, ils commencent une idylle qui ne sera pas de tout repos pour l'un comme pour l'autre.
memoria|Apichatpong Weerasethakul|Drame|2021-11-17|2 h 16 min|7.0|1808|59|1.8K|180|3.8K|Une horticultrice écossaise spécialisée dans les orchidées rend visite à sa sœur malade, à Bogota en Colombie. Au cours de son séjour, elle se lie d'amitié avec une archéologue française, en charge du suivi d'un projet de construction, et avec un jeune musicien local. Chaque nuit, elle est...
gagarine|Jérémy Trouilh|Drame|2021-06-23|1 h 38 min|6.9|3963|75|4K|356|3.7K|Youri, 16 ans, a grandi à Gagarine, immense cité de briques rouges d’Ivry-sur-Seine, où il rêve de devenir cosmonaute. Quand il apprend qu’elle est menacée de démolition, Youri décide de rentrer en résistance. Avec la complicité de Diana, Houssam et des habitants, il se donne pour mission...
l_evenement|Audrey Diwan|Drame|2021-11-24|1 h 40 min|7.5|2888|86|2.9K|206|3.6K|France, 1963. Anne, étudiante prometteuse, tombe enceinte. Elle décide d’avorter, prête à tout pour disposer de son corps et de son avenir. Elle s’engage seule dans une course contre la montre, bravant la loi. Les examens approchent, son ventre s’arrondit.
first_cow|Kelly Reichardt|Drame, western|2021-10-20|2 h 02 min|7.2|2426|60|2.4K|235|3K|Au début du XIXe siècle, sur les terres encore sauvages de l’Oregon, Cookie Figowitz, un humble cuisinier, se lie d’amitié avec King-Lu, un immigrant d’origine chinoise. Rêvant tous deux d’une vie meilleure, ils montent un modeste commerce de beignets qui ne tarde pas à faire fureur auprès des...
france|Bruno Dumont|Comédie dramatique|2021-08-25|2 h 13 min|5.9|3452|119|3.5K|149|2K|Chronique de la vie frénétique d’une journaliste star de la télévision, prise entre la célébrité et une spirale d’événements qui entraîneront sa chute.
la_nuee|Just Philippot|Drame, fantastique, Épouvante-horreur|2021-06-16|1 h 41 min|6.6|4890|131|4.9K|311|3.7K|Difficile pour Virginie de concilier sa vie d’agricultrice avec celle de mère célibataire. Pour sauver sa ferme de la faillite, elle se lance à corps perdu dans le business des sauterelles comestibles. Mais peu à peu, ses enfants ne la reconnaissent plus : Virginie semble développer un étrange...
designe_coupable|Kevin Macdonald|Thriller, drame, biopic|2021-07-14|2 h 10 min|7.2|4579|88|4.6K|204|3.8K|Capturé par le gouvernement américain, Mohamedou Ould Slahi est détenu depuis des années à Guantánamo, sans jugement ni inculpation. À bout de forces, il se découvre deux alliées inattendues : l’avocate Nancy Hollander et sa collaboratrice Teri Duncan. Avec ténacité, les deux femmes vont affronter...
pieces_of_a_woman|Kornél Mundruczó|Drame|2021-01-07|2 h 06 min|6.8|4202|86|4.2K|162|3.6K|Après un accouchement à la maison catastrophique, une femme sombre dans un abîme de chagrin, se coupant de son partenaire et de sa famille.
the_card_counter|Paul Schrader|Drame, thriller|2021-12-29|1 h 52 min|6.8|3270|67|3.3K|175|2.2K|Mutique et solitaire, William Tell, ancien militaire devenu joueur de poker, sillonne les casinos, fuyant un passé qui le hante. Il croise alors la route de Cirk, jeune homme instable obsédé par l’idée de se venger d’un haut gradé avec qui Tell a eu autrefois des démêlés. Alors qu’il prépare un...
raya_et_le_dernier_dragon|Paul Briggs|Aventure, action, comédie|2021-06-04|1 h 47 min|6.3|8379|118|8.4K|264|1.4K|Il y a de cela fort longtemps, au royaume imaginaire de Kumandra, humains et dragons vivaient en harmonie. Mais un jour, une force maléfique s’abattit sur le royaume et les dragons se sacrifièrent pour sauver l’humanité.Lorsque cette force réapparait cinq siècles plus tard, Raya, une guerrière...
minari|Lee Isaac Chung|Drame|2021-06-23|1 h 55 min|6.9|3346|51|3.3K|162|3.1K|Une famille américaine d’origine sud-coréenne s’installe dans l’Arkansas où le père de famille veut devenir fermier. Son petit garçon devra s’habituer à cette nouvelle vie et à la présence d’une grand-mère coréenne qu’il ne connaissait pas.
Cruella|Craig Gillespie|Comédie dramatique, policier|2021-06-23|2 h 14 min|6.3|8524|159|8.5K|298|1.9K|Londres, années 70, en plein mouvement punk rock. Escroc pleine de talent, Estella est résolue à se faire un nom dans le milieu de la mode. Elle se lie d’amitié avec deux jeunes vauriens qui apprécient ses compétences d’arnaqueuse et mène avec eux une existence criminelle dans les rues de Londres....
sans_un_bruit_2|John Krasinski|Drame, Épouvante-horreur, science-fiction|2021-06-16|1 h 36 min|6.4|6799|138|6.8K|185|2.2K|Après les événements mortels survenus dans sa maison, la famille Abbot doit faire face au danger du monde extérieur. Pour survivre, ils doivent se battre en silence. Forcés à s’aventurer en terrain inconnu, ils réalisent que les créatures qui attaquent au moindre son ne sont pas la seule menace...
tick_tick_boom|Lin‐Manuel Miranda|Biopic, drame, comédie musicale|2021-11-19|1 h 55 min|6.9|3439|40|3.4K|221|1.6K|Dans les années 1990, Jon, aspirant compositeur, gagne sa vie en tant que serveur à New York tout en écrivant Superbia, qu'il espère être la prochaine grande comédie musicale américaine...
teddy|Zoran Boukherma|Comédie dramatique, fantastique, Épouvante-horreur|2021-06-30|1 h 28 min|6.6|3871|86|3.9K|270|3K|Dans les Pyrénées, un loup attise la colère des villageois. Teddy, 19 ans, sans diplôme, vit avec son oncle adoptif et travaille dans un salon de massage. Sa petite amie Rebecca passe bientôt son bac, promise à un avenir radieux. Pour eux, c’est un été ordinaire qui s’annonce. Mais un soir de...
the_power_of_the_dog|Jane Campion|Drame, romance, western|2021-12-01|2 h 05 min|6.5|5248|94|5.2K|151|3.1K|Dans les années 20, les frères Burbank vivent en parfaite harmonie dans leur immense ranch du Montana. Lorsque George se marie avec Rose, l'univers de Phil s'écroule...
oss_117_alerte_rouge_en_afrique_noire|Nicolas Bedos|Comédie, aventure|2021-08-04|1 h 56 min|5.4|14328|231|14K|127|6K|1981. Hubert Bonisseur de la Bath, alias OSS 117, est de retour. Pour cette nouvelle mission, plus délicate, plus périlleuse et plus torride que jamais, il est contraint de faire équipe avec un jeune collègue, le prometteur OSS 1001.
shang_chi_et_la_legende_des_dix_anneaux|Destin Daniel Cretton|Arts martiaux, aventure, fantasy|2021-09-01|2 h 12 min|6.2|8660|143|8.7K|240|1.5K|Shang-Chi va devoir affronter un passé qu’il pensait avoir laissé derrière lui lorsqu’il est pris dans la toile de la mystérieuse organisation des Dix Anneaux.
belle|Mamoru Hosoda|Animation, aventure, drame|2021-12-29|2 h 02 min|6.7|2693|64|2.7K|260|3K|Dans la vie réelle, Suzu est une adolescente complexée, coincée dans sa petite ville demontagne avec son père. Mais dans le monde virtuel de U, Suzu devient Belle, une icône musicale suivie par plus de 5 milliards de followers. Une double vie difficile pour la timide Suzu, qui va prendre une...
The_Nightingale|Jennifer Kent|Drame, thriller, aventure|2021-03-09|2 h 16 min|7.0|1926|59|1.9K|210|2.4K|1825, au cœur de la colonisation de l’Australie. Après le massacre de toute sa famille, une jeune irlandaise traverse les terres tasmaniennes et rumine sa vengeance contre les soldats britanniques responsables de son malheur.
la_panthere_des_neiges|Vincent Munier|Nature, animalier|2021-12-15|1 h 32 min|7.9|2785|61|2.8K|294|2.7K|Au cœur des hauts plateaux tibétains, le photographe Vincent Munier entraîne l'écrivain Sylvain Tesson dans sa quête de la panthère des neiges. Il l'initie à l'art délicat de l'affût, à la lecture des traces et à la patience nécessaire pour entrevoir les bêtes. En parcourant les sommets habités...
les_eternels|Chloé Zhao|Action, aventure, fantastique|2021-11-03|2 h 37 min|5.9|7943|199|7.9K|215|2.4K|Appartenant à une ancienne race d’êtres humains, les Eternels, qui peuvent manipuler l’énergie cosmique, ont été créés par les Célestes afin de protéger la Terre contre leurs homologues, les Déviants.
evangelion_3_0_1_0_thrice_upon_a_time|Kazuya Tsurumaki|Animation, action, drame|2021-08-13|2 h 34 min|7.7|981|37|981|201|1.2K|En l'an 2000, une gigantesque explosion se produit en Antarctique provoquant un cataclysme qui dévaste une grande partie de la planète. Les autorités déclarent que cette catastrophe est due à la chute d'un astéroïde. Quinze ans plus tard, l'Humanité a surmonté cet événement, appelé le Second Impact....
nobody|Ilya Naishuller|Thriller, action, drame|2021-06-02|1 h 32 min|6.2|5191|131|5.2K|226|1.8K|Hutch Mansell, un père de famille sans histoire, accumule un tas de frustrations. Alors que des cambrioleurs rentrent chez lui, Hutch va se défendre et faire preuve d'une grande violence. Un incident qui va faire resurgir les secrets de son passé...
les_sorcieres_d_akelarre|Pablo Agüero|Drame, historique|2021-08-25|1 h 30 min|7.0|2016|39|2K|207|2.6K|Pays basque, 1609. Six jeunes femmes sont arrêtées et accusées d’avoir participé à une cérémonie diabolique, le Sabbat. Quoi qu’elles disent, quoi qu’elles fassent, elles seront considérées comme des sorcières. Il ne leur reste plus qu’à le devenir…
la_main_de_dieu|Paolo Sorrentino|Drame|2021-12-15|2 h 10 min|6.9|2545|39|2.5K|144|2.2K|Naples des années 1980. Fabietto Schisa, adolescent mal dans sa peau, vit avec sa famille excentrique et haute en couleurs. Mais son quotidien est soudain bouleversé lorsque Diego Maradona, légende planétaire du football, débarque à Naples et le sauve miraculeusement d’un terrible accident. Cette...
i_care_a_lot|J Blakeson|Comédie, policier, thriller|2021-02-19|1 h 58 min|5.8|8374|147|8.4K|82|1.6K|Marla Grayson est une tutrice réputée spécialisée auprès d'individus âgés et riches. Aux dépens de ces derniers, elle mène une vie de luxe. Mais sa prochaine victime s'avère avoir de dangereux secrets.
encanto_la_fantastique_famille_madrigal|Charise Castro Smith|Animation, aventure, fantastique|2021-11-24|1 h 39 min|6.4|6469|129|6.5K|252|1.6K|Encanto raconte l'histoire d'une famille extraordinaire : les Madrigal, qui vivent dans les montagnes de Colombie, dans une maison magique, dans un endroit merveilleux et charmant appelé Encanto. La magie de l'Encanto a béni chaque enfant de la famille avec un cadeau unique allant de la super...
slalom|Charlène Favier|Drame, sport|2021-05-19|1 h 32 min|6.7|2848|65|2.8K|123|1.9K|Lyz, 15 ans, vient d’intégrer une prestigieuse section ski-études du lycée de Bourg-Saint-Maurice. Fred, ex-champion et désormais entraîneur, décide de tout miser sur sa nouvelle recrue. Galvanisée par son soutien, Lyz s’investit à corps perdu, physiquement et émotionnellement. Elle enchaîne les...
Judas_and_the_Black_Messiah|Shaka King|Biopic, drame, historique|2021-04-24|2 h 06 min|6.7|2639|46|2.6K|90|2.3K|Focus sur l'ascension de Fred Hampton, militant politique afro-américain, membre du Black Panther Party dans l'Illinois, décédé en décembre 1969 à l'âge de 21 ans.
la_fracture|Catherine Corsini|Comédie dramatique|2021-10-27|1 h 38 min|6.8|2662|56|2.7K|141|2.3K|Raf et Julie se retrouvent dans un service d’urgences proche de l'asphyxie le soir d'une manifestation parisienne des Gilets Jaunes. Leur rencontre avec Yann, un manifestant blessé et en colère, va faire voler en éclats les certitudes et les préjugés de chacun. À l'extérieur, la tension monte....
compartiment_ndeg6|Juho Kuosmanen|Drame, comédie|2021-11-03|1 h 47 min|6.8|2340|51|2.3K|170|1.9K|Une jeune finlandaise prend un train à Moscou pour se rendre sur un site archéologique en mer arctique. Elle est contrainte de partager son compartiment avec un inconnu. Cette cohabitation et d’improbables rencontres vont peu à peu rapprocher ces deux êtres que tout oppose...
petite_maman|Céline Sciamma|Drame|2021-06-02|1 h 12 min|6.3|2572|49|2.6K|138|1.5K|Nelly a huit ans et vient de perdre sa grand-mère. Elle part avec ses parents vider la maison d’enfance de sa mère, Marion. Nelly est heureuse d’explorer cette maison et les bois qui l’entourent où sa mère construisait une cabane. Un matin la tristesse pousse sa mère à partir. C’est là que Nelly...
le_discours|Laurent Tirard|Comédie|2021-06-09|1 h 28 min|6.3|5405|94|5.4K|159|2K|Adrien est coincé. Coincé à un dîner de famille où papa ressort la même anecdote que d’habitude, maman ressert le sempiternel gigot et Sophie, sa soeur, écoute son futur mari comme s’il était Einstein. Alors il attend. Il attend que Sonia réponde à son sms, et mette fin à la « pause » qu’elle lui...
la_fievre_de_petrov|Kirill Serebrennikov|Comédie dramatique, fantastique|2021-12-01|2 h 25 min|6.7|1227|24|1.2K|97|2.4K|Affaibli par une forte fièvre, Petrov est entraîné par son ami Igor dans une longue déambulation alcoolisée, à la lisière entre le rêve et la réalité. Progressivement, les souvenirs d'enfance de Petrov ressurgissent et se confondent avec le présent…
old|M. Night Shyamalan|Drame, fantastique, thriller|2021-07-21|1 h 48 min|5.3|6450|170|6.5K|115|3.1K|En vacances dans les tropiques, une famille s’arrête pour quelques heures sur un atoll isolé où ils découvrent avec effroi que leur vieillissement y est drastiquement accéléré et que leur vie entière va se retrouver réduite à cette ultime journée.
medecin_de_nuit|Elie Wajeman|Drame, thriller|2021-06-16|1 h 22 min|6.6|3645|71|3.6K|148|2.3K|Mikaël est médecin de nuit. Il soigne des patients de quartiers difficiles, mais aussi ceux que personne ne veut voir : les toxicomanes. Tiraillé entre sa femme et sa maîtresse, entraîné par son cousin pharmacien dans un dangereux trafic de fausses ordonnances de Subutex, sa vie est un chaos....
